effectivity_date,product,price_mid
2018-01-30,DIESEL PLUS,40.34833333333333
2018-01-30,KEROSENE,46.25214285714286
2018-01-30,RON 91,51.44166666666666
2018-01-30,RON 95,55.85
2018-02-06,DIESEL,51.43
2018-02-06,DIESEL PLUS,41.020714285714284
2018-02-06,KEROSENE,46.482777777777784
2018-02-06,RON 91,53.17714285714286
2018-02-06,RON 95,56.35
2018-02-13,DIESEL,50.68285714285714
2018-02-13,DIESEL PLUS,39.73142857142857
2018-02-13,KEROSENE,45.25055555555556
2018-02-13,RON 91,52.52428571428571
2018-02-13,RON 95,55.35
2018-02-20,DIESEL,49.58642857142858
2018-02-20,DIESEL PLUS,38.527857142857144
2018-02-20,KEROSENE,43.98777777777778
2018-02-20,RON 91,51.103571428571435
2018-02-20,RON 95,54.26500000000001
2018-02-27,DIESEL,50.17214285714285
2018-02-27,DIESEL PLUS,39.62214285714286
2018-02-27,KEROSENE,45.42611111111111
2018-02-27,RON 91,51.58428571428572
2018-02-27,RON 95,55.08166666666667
2018-03-06,DIESEL,51.082142857142856
2018-03-06,DIESEL PLUS,39.95071428571429
2018-03-06,KEROSENE,45.767222222222216
2018-03-06,RON 91,52.708571428571425
2018-03-06,RON 95,55.416666666666664
2018-03-14,DIESEL,50.792142857142856
2018-03-14,DIESEL PLUS,39.57142857142857
2018-03-14,KEROSENE,45.461666666666666
2018-03-14,RON 91,52.386428571428574
2018-03-14,RON 95,55.18333333333334
2018-03-21,DIESEL,50.792142857142856
2018-03-21,DIESEL PLUS,39.971428571428575
2018-03-21,KEROSENE,45.928333333333335
2018-03-21,RON 91,52.386428571428574
2018-03-21,RON 95,55.18333333333334
2018-04-02,RON 91,46.13850000000001
2018-04-02,RON 95,54.21025
2018-04-02,RON 97,55.0065
2018-04-04,RON 91,46.04842857142857
2018-04-04,RON 95,54.18525
2018-04-04,RON 97,55.11825
2018-04-24,DIESEL,52.270714285714284
2018-04-24,DIESEL PLUS,42.654999999999994
2018-04-24,KEROSENE,47.74722222222222
2018-04-24,RON 91,53.75142857142857
2018-04-24,RON 95,56.52666666666667
2018-05-02,DIESEL,53.12071428571429
2018-05-02,DIESEL PLUS,43.355000000000004
2018-05-02,KEROSENE,48.44722222222222
2018-05-02,RON 91,54.60142857142857
2018-05-02,RON 95,57.376666666666665
2018-05-08,DIESEL,52.68214285714286
2018-05-08,DIESEL PLUS,42.87357142857143
2018-05-08,KEROSENE,48.29222222222222
2018-05-08,RON 91,53.71785714285714
2018-05-08,RON 95,57.81333333333333
2018-05-16,RON 91,48.053
2018-05-16,RON 95,55.08225
2018-05-16,RON 97,57.9015
2018-05-22,DIESEL,54.94714285714286
2018-05-22,DIESEL PLUS,45.12071428571429
2018-05-22,KEROSENE,49.94833333333334
2018-05-22,RON 91,55.778571428571425
2018-05-22,RON 95,60.416666666666664
2018-05-30,DIESEL,55.144999999999996
2018-05-30,DIESEL PLUS,45.46071428571429
